,,,,
TABLE 1,,,,
TANDOORI MURG ( HALF & FULL ),350/650,NoneNoneNoneNone,,
MURG RESHMI KEBAB,310,NoneNoneNoneNone,,
( Bonless pices of Murg succulents of mildly Spiced & cooked ),,NoneNoneNoneNone,,
MURG PAHADI KEBAB,290,NoneNoneNoneNone,,
( Bonless Murg Marrinated In Mint And Corrender Spice coocked in clay oven ),,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
VEG STARTER CHINESE,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
CRISPY CORN IN CHILLY PANEER,220,NoneNoneNoneNone,,
CRISPY VEGATABLE,220,NoneNoneNoneNone,,
CHEESE SPINACH ROLL,240,NoneNoneNoneNone,,
PEPPER GARLIC MUSHROOM,240,NoneNoneNoneNone,,
VEGATABLE SPRING ROLL,240,NoneNoneNoneNone,,
BABYCORN & MUSHROOM IN SINGAPORE STYLE,240,NoneNoneNoneNone,,
PANEER CHILLI,220,NoneNoneNoneNone,,
PANEER MANCHURIAN,220,NoneNoneNoneNone,,
VAGTABLE MANCHURIAN,190,NoneNoneNoneNone,,
,,,,
TABLE 1,,,,
,,Xmin,,
CHEESE BALLS IN HOT GARLIC SAUSE,280,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
NONVEG STARTER NONVEG CHINESE,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
GOLDEN FRIED CHICKEN,280,NoneNoneNoneNone,,
chefs Special ),,NoneNoneNoneNone,,
EGGS CHICKEN ROOLS,280,NoneNoneNoneNone,,
CHICKEN WITH CHINESE PARSLEY DRY,280,NoneNoneNoneNone,,
( sliced with chicken cooked in tangy parsley sauce ),,NoneNoneNoneNone,,
CHICKEN IN SCHEZWAN STYLE DRY,280,NoneNoneNoneNone,,
Chicken cooked with schezwan chilly sauce ),,NoneNoneNoneNone,,
LEMON PEPPER CHICKEN DRY,280,NoneNoneNoneNone,,
( chicken cooked in lemon and honey & pepper sauce ),,NoneNoneNoneNone,,
CHILLY CHICKEN,280,NoneNoneNoneNone,,
CHILLY NUTS CHICKEN,280,NoneNoneNoneNone,,
CHICKEN SPRIG ROLL,360,NoneNoneNoneNone,,
CHICKEN MANCHURIAN,280,NoneNoneNoneNone,,
DRUMS OF HEAVAN,380,NoneNoneNoneNone,,
CHICKEN LOLIPOP,280,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
RICE AND NOODLES,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
VEG HAKKA NOODLES,190,NoneNoneNoneNone,,
VEG CHILLY GARLIC NOODLES,210,NoneNoneNoneNone,,
VEG HONG KONG NOODELS,190,NoneNoneNoneNone,,
AMERICAN CHOPSUEY,190,NoneNoneNoneNone,,
VEG HONG KONG FRIED RICE,190,NoneNoneNoneNone,,
VEG SHANGHAI FRIED RICE,190,NoneNoneNoneNone,,
SCHEZWAN FRIED RICE,190,NoneNoneNoneNone,,
VEG FRIED RICE,170,NoneNoneNoneNone,,
CHICKEN FRIED RICE,210,NoneNoneNoneNone,,
CHICKEN SCHEZWAN FRIED RICE,210,NoneNoneNoneNone,,
CHICKEN HONG KONG FRIED RICE,240,NoneNoneNoneNone,,
CHICKEN HAKKA NOODLES,210,NoneNoneNoneNone,,
CHICHEN SCHEZWAN HAKKA NOODLES,240,NoneNoneNoneNone,,
CHICKEN SHANGAI FRIED RICE,240,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
MAIN COURSE NON VEG AND VEG CHINESE,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
CHICKEN WITH BLACK BEAN SAUCE,240,NoneNoneNoneNone,,
CHICKEN WITH HOT GARLIC SAUCE,240,NoneNoneNoneNone,,
CHICKEN IN LEMON HONEY SAUCE,240,NoneNoneNoneNone,,
CHICKEN WITH YOUR CHOICE SAUCE,240,NoneNoneNoneNone,,
chilly Tomato / Soya Garlic / Butter Papper / Pinut Sauce ),,NoneNoneNoneNone,,
CHILLY CHICKEN IN OYASTER SAUCE,280,NoneNoneNoneNone,,
GINGER CHICKEN,240,NoneNoneNoneNone,,
COTTAGE CHEESE WITH GRIELD ONION GARLIC SAUSE,240,NoneNoneNoneNone,,
TWIN CORN MUSHROOM WITH DEVIL SAUSE,280,NoneNoneNoneNone,,
VEGATABLE MANCHURIAN,210,NoneNoneNoneNone,,
VEGATABLE CHILLY WITH HOT GARLIC SAUCE,210,NoneNoneNoneNone,,
,,,,
TABLE 1,,,,
,,Xmax,,
CHANA PESHAWARI,220,0,,
( chickpeas cookedin tangy tomato and onion grevy ),,0,,
,,0,,
INDIAN MAIN COURSE NON VEG,,0,,
,,0,,
MURG PESHAWARI,280,0,,
( Special chicken preparation from north est cuisine,,0,,
KADHAI MURG,280,0,,
chef speciality ),,0,,
MURG ADRAKI,280,0,,
MURG SAGWALA,280,0,,
MURG TIKKA MASALA,290,0,,
Chicken tikka in tomato Onion Gravy ),,0,,
MURG PATIYALA,330,0,,
( Chicken Stuffed In Egg Omlate With Rich tomato gravy ),,0,,
MURG MAKHANWALA,290,0,,
( punjabi Special zaika ),,0,,
MURG HANDI HALF,380,0,,
MURG HANDI FULL,650,0,,
MURG RAHRA,330,0,,
( Special chicken preparation with kheema cooked in rich gravy ),,0,,
MURG LABABDAR,330,0,,
( Special chicken cooked with clay oven in rich tomato gravy ),,0,,
MURG AMRUTSARI,330,0,,
( grild chicken served spice with special punjabi gravy ),,0,,
MURG MASALA / CURRY,280,0,,
MUTTON ROGAN JOSH,320,0,,
( exotic mutton Dish With Kashmiri Style ),,0,,
MUTTON BHOONA,380,0,,
special mutton cooked with tradatinol black masala ),,0,,
MUTTON MARATHA,320,0,,
( special mutton cooked in home style ),,0,,
MUTTON SAGWALA,320,0,,
( special mutthon cooked with spinach ),,0,,
MUTTON MASALA / CURRY,320,0,,
MUTTON HANDI HALF,410,0,,
MUTTON HANDI FULL,750,0,,
,,0,,
DAL,,0,,
,,0,,
YELOOW DAL TADKEWALI,130,0,,
YELOOW DAL FRY,120,0,,
YELOOW DAL BUTTER,130,0,,
DAL MAKHANI,160,0,,
,,0,,
INDIAN BREAD,,0,,
,,0,,
TANDOORI ROTI,22,0,,
BUTTTER ROTI,30,0,,
NAAN / BUTTER,45/55,0,,
,,,,
TABLE 1,,,,
,,Xmin,,
GREAK SALAD,110,NoneNoneNoneNone,,
KIMCHI SALAD,110,NoneNoneNoneNone,,
CEASAR SALAD,130,NoneNoneNoneNone,,
CLASSIC CHICKEN SEASAR SALAD,160,NoneNoneNoneNone,,
CLASSIC PASTA SALAD WITH CHICKEN,180,NoneNoneNoneNone,,
CLASSIC CHICKEN TOASD SALAD,180,NoneNoneNoneNone,,
ALOO CHANA CHAAT,140,NoneNoneNoneNone,,
ALOO CHAAT,140,NoneNoneNoneNone,,
RAITA,160,NoneNoneNoneNone,,
( Boondi / Pineapple / Mix Veg / Aloo ),,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
SANDWICHES AND SNAKS,,NoneNoneNoneNone,,
VEGATABLE CUTLETS,180,NoneNoneNoneNone,,
( Servd With French Fries ),,NoneNoneNoneNone,,
CHICKEN CUTLETS,190,NoneNoneNoneNone,,
SERVD WITH FRENCH FRIES ),,NoneNoneNoneNone,,
VEGATABLE SANDWICH,95,NoneNoneNoneNone,,
VEGATABLE CHEESE SANDWICH,110,NoneNoneNoneNone,,
VEGATABLE TOASTED SANDWICH,110,NoneNoneNoneNone,,
VWGATABLE CLUB SANDWICH,160,NoneNoneNoneNone,,
VEGATABLES GRIELD SANDWICH,160,NoneNoneNoneNone,,
EGG OMLET SANDWICH,130,NoneNoneNoneNone,,
CHICKEN SANDWICH,160,NoneNoneNoneNone,,
CHICKEN GRILD SANDWICH,160,NoneNoneNoneNone,,
CHICKEN CLUB SANDWICH,180,NoneNoneNoneNone,,
HOT BEVERAGE,25/45/95,NoneNoneNoneNone,,
Tea / black Tea / Coffee / Black Coffee / Hot Bournvita / Horliks ),,NoneNoneNoneNone,,
CHASS,60,NoneNoneNoneNone,,
LASSI,90,NoneNoneNoneNone,,
( Sweet / Salted / Mix DryFruit ),,NoneNoneNoneNone,,
MILK SHAKES,110,NoneNoneNoneNone,,
( Chocklet / strawery / Vanila / Mango ),,NoneNoneNoneNone,,
COLD COFFEE,110,NoneNoneNoneNone,,
COLD COFFEE WITH ICE CREAM,140,NoneNoneNoneNone,,
PACKDGE DRINKING WATER,30,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
PIZZA AND PASTA,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
EXITIC VEG PIZZA,140,NoneNoneNoneNone,,
"( A Made By Broccoli , olives , corn and mozzirilla )",,NoneNoneNoneNone,,
BARBEQUE MUSHROOM PIZA,180,NoneNoneNoneNone,,
PANEER TIKKA PIZZA,180,NoneNoneNoneNone,,
MARGERITTA PIZZA,180,NoneNoneNoneNone,,
CHICKEN TIKKA PIZZA,210,NoneNoneNoneNone,,
BARBEQUE CHICKEN PIZZA,210,NoneNoneNoneNone,,
SPEGHETTI ARABITA PASTA,310,NoneNoneNoneNone,,
( Servd with spicy tomata Sause cheese with garlic bread ),,NoneNoneNoneNone,,
FUSSALI ALFREDO PASTA,310,NoneNoneNoneNone,,
,,,,
TABLE 1,,,,
,,,,
"GARLIC NAAN
CHEESE GARLIC",75,,,
"CHEESE GARLIC NAAN
KULCHA",95,,,
"KULCHA
BUTTER KULCHA",45,,,
"BUTTER KULCHA
LACCHEDAR PARATHA",55,,,
LACCHEDAR PARATHA / BUTTER MASALA ROTI,45/55,,,
"MASALA ROTI
RUMALI ROTI",55,,,
"RUMALI ROTI
BUTTER RUMALI",65,,,
"BUTTER RUMALI ROTI .
JAWAR BHAKRI",75,,,
"JAWAR BHAKRI
BAJRI",35,,,
"BAJRI BHAKARI
TANDOORI",35,,,
TANDOORI BASKET,480,,,
RICE,,,,
RICE,,,,
,,,,
STEAM RICE HALF / FULL,80/110,,,
JEERA RICE HALF / FULL,90/130,,,
VEGATABLE PULAO,220,,,
SHAHI DUM BIRYANI,280,,,
DAL KHICHADI,160,,,
BUTEER DAL KHICHADI,180,,,
MURG TIKKA BIRYANI,280,,,
MURH SHAHI DUM BIRYANI,330,,,
MURG TAHARI,280,,,
,,,,
,,,,
SWEET,,,,
FRUIT AND HONEY DELIGTE,210,,,
SUPRIME ALASKA,210,,,
CARAMAL CUSTERD,210,,,
CHOICE OF MOUSSE,160,,,
Chocolate / pineapple / mango ),,,,
CHEF SPECIAL SWEET OF THE DAY,240,,,
( Ask your server ),,,,
"(
FRUIT SALAD",160,,,
FRUIT CUSTERD,160,,,
CHOICE OF ICE CREAM,75,,,
( Vanila / Strawery / mango / chocklet / butter scoch / Clasic Casata ),,,,
